id,transcript,cefr,situation,focus_areas,length_sec,patterns
clip-practice-286,"You shoulda known I was gonna need your support when I told you I was gonna start this new job and I'd never done anything like it before",B2,daily,"reductions,connected_speech,weak_forms",15,"shoulda,gonna,weak_to,gonna,I'd"
clip-practice-287,"We're gonna have to cancel our plans because I gotta work late tonight and you're supposed to be studying for that exam you're gonna take next week",B2,daily,"connected_speech,reductions,weak_forms",16,"gonna,weak_to,gotta,weak_to,gonna"
clip-practice-288,"She shoulda realized we were gonna need more time when she saw how complicated the project was gonna be and how much research we'd have to do",B2,daily,"reductions,connected_speech,weak_forms",16,"shoulda,gonna,weak_to,gonna,we'd,weak_to"
clip-practice-289,"We're gonna have to check in online before we can board the plane and we should've done it yesterday when we were supposed to but we forgot because we were gonna be busy",B2,travel,"connected_speech,reductions,weak_forms",18,"gonna,weak_to,should've,weak_to,we'd,gonna"
clip-practice-290,"Didja see how fast they were talking in that documentary? I could barely keep up with what they were saying and I had to rewatch it three times before I could understand everything they were gonna explain",B2,travel,"connected_speech,reductions,weak_forms",18,"didja,weak_to,gonna"
clip-practice-291,"You're gonna have to get your visa approved before you can travel and you should've started the process months ago but you're gonna need to hurry if you want to make it in time",B2,travel,"connected_speech,reductions,weak_forms",18,"gonna,weak_to,should've,gonna,weak_to"
clip-practice-292,"I would've been able to enjoy the trip more if I'd known we were gonna have to deal with all these delays and I'd had more time to prepare but we're gonna make the best of it anyway",B2,travel,"weak_forms,reductions,connected_speech",18,"would've,weak_to,I'd,gonna,weak_to,I'd,gonna"
clip-practice-293,"I wanna watch that new series everyone's talking about but I gotta finish this book first and then I'm supposed to write a review before I can start watching anything else because I'm gonna have to focus on my studies",B2,videos_shows,"connected_speech,reductions,weak_forms",20,"wanna,gotta,weak_to,gonna,weak_to"
clip-practice-294,"It's kind of hard to understand when they're speaking so fast and using all those contractions and reductions and you're trying to keep up with the plot at the same time because there's so much going on",B2,videos_shows,"weak_forms,linking,reductions",16,"weak_to"
clip-practice-295,"I shoulda known I was gonna need subtitles when I started watching because they were gonna be speaking in accents I'd never heard before and I'm gonna have to rewatch it to catch everything",B2,videos_shows,"reductions,connected_speech,weak_forms",18,"shoulda,gonna,weak_to,gonna,I'd,gonna,weak_to"
clip-practice-296,"You're gonna have to pay attention to every detail if you want to understand the storyline because they're gonna introduce so many characters and plot twists that you're gonna get confused if you miss anything",B2,videos_shows,"connected_speech,reductions,weak_forms",20,"gonna,weak_to,gonna,gonna,weak_to"
clip-practice-297,"I shoulda told you I was gonna be late but I didn't think you'd be waiting for me this long and I'm really sorry because I know you were gonna have to leave soon and we were supposed to meet earlier",B2,general,"reductions,connected_speech,weak_forms",20,"shoulda,gonna,weak_to,you'd,gonna,weak_to"
clip-practice-298,"We would've finished the whole thing if we'd started earlier but we're gonna have to do it tomorrow now because it's too late today and we're supposed to submit it by Friday but we're gonna need more time",B2,general,"weak_forms,reductions,connected_speech",19,"would've,we'd,gonna,weak_to,weak_to,gonna,weak_to"
clip-practice-299,"I would've been able to help you with that project if I'd known you were gonna need assistance and I'd had more time to prepare but I'm gonna have to finish my own work first before I can start helping anyone else",B2,general,"weak_forms,reductions,connected_speech",22,"would've,weak_to,I'd,gonna,I'd,gonna,weak_to"
clip-practice-300,"You shoulda known I was gonna need your help when I told you I was gonna start this new project and I'd never done anything like it before but you were gonna be busy with your own work so I understand why you couldn't help",B2,general,"reductions,connected_speech,weak_forms",25,"shoulda,gonna,weak_to,gonna,I'd,gonna"

